Date,Open,High,Low,Close,Volume
1/29/1993,43.96875,43.96875,43.75,25.334026,1003200
2/1/1993,43.96875,44.25,43.96875,25.514219,480500
2/2/1993,44.21875,44.375,44.125,25.568272,201300
2/3/1993,44.40625,44.84375,44.375,25.838549,529400
2/4/1993,44.96875,45.09375,44.46875,25.946653,531500
2/5/1993,44.96875,45.0625,44.71875,25.928638,492100
2/8/1993,44.96875,45.125,44.90625,25.928638,596100
2/9/1993,44.8125,44.8125,44.5625,25.748447,122100
2/10/1993,44.65625,44.75,44.53125,25.784492,379600
2/11/1993,44.78125,45.125,44.78125,25.91061,19500
2/12/1993,44.875,44.875,44.59375,25.712418,42500
2/16/1993,44.46875,44.46875,43.40625,25.063744,374800
2/17/1993,43.46875,43.53125,43.28125,25.045721,210900
2/18/1993,43.9375,43.9375,42.8125,25.027708,378100
2/19/1993,43.40625,43.5625,43.34375,25.117805,34900
2/22/1993,43.6875,43.78125,43.5625,25.207901,513600
2/23/1993,43.84375,43.875,43.46875,25.189884,373700
2/24/1993,43.71875,44.25,43.71875,25.514219,26300
2/25/1993,44.21875,44.375,44.125,25.568272,44500
2/26/1993,44.4375,44.4375,44.1875,25.604313,66200
3/1/1993,44.5625,44.5625,44.21875,25.532225,66500
3/2/1993,44.3125,44.9375,44.25,25.91061,182400
3/3/1993,45,45.15625,44.9375,26.018728,280100
3/4/1993,45.1875,45.1875,44.875,25.874575,89500
3/5/1993,44.9375,45.125,44.71875,25.802504,40000
3/8/1993,44.84375,45.75,44.84375,26.379103,50800
3/9/1993,45.65625,45.6875,45.5,26.289001,169300
3/10/1993,45.59375,45.6875,45.40625,26.343063,194400
3/11/1993,45.71875,45.84375,45.5,26.270996,70900
3/12/1993,45.1875,45.21875,44.8125,26.000708,643600
3/15/1993,45.0625,45.3125,45.0625,26.126835,310800
3/16/1993,45.3125,45.4375,45.3125,26.126835,30800
3/17/1993,45.25,45.25,44.96875,25.964676,21800
3/18/1993,45.21875,45.5,45.21875,26.126835,59300
3/19/1993,45.28125,45.28125,45.03125,26.087303,66900
3/22/1993,44.59375,44.875,44.5625,25.942465,183400
3/23/1993,44.90625,44.9375,44.8125,25.996792,55200
3/24/1993,44.8125,45.0625,44.59375,25.996792,37200
3/25/1993,44.90625,45.25,44.84375,26.159718,110100
3/26/1993,45.125,45.15625,44.875,26.014881,101500
3/29/1993,44.9375,45.3125,44.9375,26.123514,87100
3/30/1993,45.15625,45.21875,45.09375,26.195942,56000
3/31/1993,45.34375,45.46875,45.1875,26.177828,111600
4/1/1993,45.25,45.25,44.9375,26.087303,129500
4/2/1993,44.65625,44.65625,44.09375,25.544195,59400
4/5/1993,44.4375,44.4375,44.1875,25.670916,172200
4/6/1993,44.40625,44.40625,44.0625,25.598497,129700
4/7/1993,44.25,44.34375,44.15625,25.68903,28000
4/8/1993,44.53125,44.53125,44.09375,25.652817,180800
4/12/1993,44.71875,44.9375,44.65625,26.014881,348500
4/13/1993,44.875,45.15625,44.84375,26.069199,146100
4/14/1993,45.03125,45.0625,44.90625,26.03299,119600
4/15/1993,44.90625,45.03125,44.75,26.03299,148600
4/16/1993,44.96875,45.03125,44.875,26.03299,47900
4/19/1993,44.9375,45.0625,44.71875,25.924364,157000
4/20/1993,44.6875,44.75,44.25,25.797647,279500
4/21/1993,44.625,44.625,44.375,25.779528,67900
4/22/1993,44.3125,44.6875,43.9375,25.453676,97700
4/23/1993,43.84375,43.96875,43.6875,25.345055,106000
4/26/1993,43.78125,43.9375,43.28125,25.145912,62600
4/27/1993,43.34375,43.875,43.34375,25.417484,156800
4/28/1993,43.8125,43.90625,43.71875,25.363165,85900
4/29/1993,43.875,43.96875,43.625,25.471779,85000
4/30/1993,44.125,44.28125,44.03125,25.507992,88500
5/3/1993,44.09375,44.3125,43.90625,25.670916,80500
5/4/1993,44.40625,44.625,44.34375,25.76144,149100
5/5/1993,44.46875,44.75,44.46875,25.833853,109000
5/6/1993,44.53125,44.5625,44.40625,25.743328,54700
5/7/1993,44.46875,44.46875,44.28125,25.68903,68000
